"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"680","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Recommendation to reduce contact to long-term care facilities"
"681","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","access to school, kindergarten, and other facilities for children"
"683","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Zoos, sports facilities und children playgrounds."
"686","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Restaurants - Partial"
"690","Resource allocation","Crisis management plans","Implement repurpose community services plans","Prison sentences were or will be suspended in the course of March and these prisoners will be released little by little in order to reduce the risk of infection and to concentrate medical resources in the prison system"
"694","Healthcare and public health capacity","Reduce the burden on health systems","Simplification of the health journey","For suspected cases"
"702","Healthcare and public health capacity","Activate notification of cases","Covid-19 as a notifiable disease","Infection Protection Act"
"703","Risk communication","Actively communicate with stakeholders","Postpone mass gathering","Limit up to 1000"
"706","Case identification, contact tracing and related measures","Airport health check","",""
"707","Case identification, contact tracing and related measures","Airport health check","Travellers from China: Questionnaire",""
"709","Case identification, contact tracing and related measures","Airport health check","Extension of the measure ","Extention of the measure from 12/2/2020 to travelers from Iran, Italy, South Korea and Japan"
"710","Case identification, contact tracing and related measures","Border health check","Test at the border","Asylum seekers"
"711","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","France, Switzerland, Austria, Luxemburg"
"712","Travel restriction","Border restriction","Borders closed to refugees","For an indefinite period"
"713","Travel restriction","Border restriction","Maritime, Airport borders","closed for non-citizens, transiting allowed for persons with residence in EU"
"714","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of kindergartens, other childcare facilities, and schools"
"717","Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","Press conference with federal minister of health and group of experts"
"718","Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19","Vaccination against influenza"
"725","Risk communication","Educate and actively communicate with the public","Scale up communication to the public",""
"726","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Advice against traveling to Italy and Nordrhein-Westfalen (Germany)"
"728","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","vulnerable population"
"729","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","incoming from Italy, Austria or Switzerland"
"731","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","Establishment of a crisis team between the Ministry of Interior and the Ministry of Health was announced"
"732","Healthcare and public health capacity","Enhance hand hygiene","Approval of new hand disinfectant","Approval of 2-propanol- containing products for hand disinfection (Federal Institute for Occupational Safety and Health )"
"734","Healthcare and public health capacity","Increase availability of PPE","Prohibition of export of protective personal equipment","Increase number of PPE for healthcare professionals"
"737","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","people that returned within the last 14 days from high-risk areas"
"740","Travel restriction","Non-essential travels forbidden","High-risk areas","to France , Austria , Luxembourg , Switzerland, Denmark"
"741","Case identification, contact tracing and related measures","Quarantine","Contact persons","The 100 people who were brought back from Wuhan are quarantined for two weeks"
"743","Healthcare and public health capacity","Reduce the burden on health systems","Promote self-initiated isolation of people with mild respiratory symptoms","Speech of the president of the RKI Lothar Wieler"
"744","Social distancing","Return operation of nationals living abroad","",""
"747","Healthcare and public health capacity","Scale up emergency response mechanisms","Law",""
"748","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Call to reservists"
"750","Social distancing","Mass gathering cancellation","Closure of non-essential public places","barbershop, beauty studios, massage practice, etc"
"754","Social distancing","Small gathering cancellation","Small gathering cancellation","Closure of restaurants/bars/cafes"
"755","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas","People traveling from China, South Korea, Japan, Iran or Italy by plane should inform the authorities of their whereabouts and how to contact them"
"756","Risk communication","Travel alert","Worldwide travel warning",""
"759","Resource allocation","Crisis management plans","Implement repurpose community services plans","prisoners in Hamburg released to make room for isolation of infected inmates"
"764","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Partial closure of primary and secondary schools"
"773","Social distancing","Small gathering cancellation","Remote Psychotherapy Consultation",""
"777","Risk communication","Actively communicate with stakeholders","Promote hygiene measures and social distancing","restaurants, hotels, libraries"
"783","Resource allocation","Crisis management plans","Implement repurpose community services plans","state supports childcare if parents are doing essential work (medical staff, essential administrative staff)"
"784","Resource allocation","Crisis management plans","",""
"785","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","regional"
"791","Social distancing","Mass gathering cancellation","",""
"793","Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Recommendation to reduce contact to long-term care facilities"
"794","Social distancing","Public transport","Reduce service",""
"796","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Children playgrounds"
"798","Social distancing","Small gathering cancellation","Closure of short-term accomodation",""
"825","Risk communication","Educate and actively communicate with the public","Activate communication to the public","airport, railway stations, harbours (poster, flyers) radio, social media, governmential homepages "
"832","Risk communication","Educate and actively communicate with the public","Promote health check if respiratory symptoms","Seek medical attention promptly if you are feeling unwell."
"834","Risk communication","Educate and actively communicate with the public","Encourage to not shake hands",""
"836","Case identification, contact tracing and related measures","Tracing and monitoring","Cases"," questionnaire"
"838","Social distancing","Mass gathering cancellation","Festivals, faith-based events","carneval parties cancelled"
"844","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas","Israel"
"845","Case identification, contact tracing and related measures","Specific health channel for travellers","From high-risk areas other than China","Israel"
"847","Social distancing","Closure of educational institutions","Complete closure of educational institutions","local/regional areas affected by the ""Isreal-return-cases"""
"849","Social distancing","Mass gathering cancellation","Sport events","visitors excluded"
"858","Travel restriction","Travel restriction to high-risk areas","Italy",""
"859","Social distancing","Mass gathering cancellation","Outdoor activities","Closure of ski resorts"
"861","Travel restriction","Cordon sanitaire","One city",""
"863","Travel restriction","Border restriction","Borders closed for travellers but open for food supply","Albania + North Macendonia"
"864","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","to/from Italy, Spain"
"865","Travel restriction","Denial entry to boats with more than 100 passengers","All","from Italy + Spain, and all crusing ships"
"867","Social distancing","Small gathering cancellation","Police and army control and sanctions","assembly ban for more than 10P, 1000 Euro penalty"
"869","Healthcare and public health capacity","Increase healthcare workforce","In the refugee camps",""
"870","Case identification, contact tracing and related measures","Border health check","Measure temperature","compulsory temperature checking"
"876","Social distancing","Small gathering cancellation","Police and army control and sanctions","Limit up to 2 persons"
"877","Social distancing","Mass gathering cancellation","Complete prohibition of gathering","Limit up to 2 persons"
"886","Social distancing","Public transport","",""
"888","Travel restriction","Cordon sanitaire","2 neighborhoods","Epidemiological fence set up"
"892","Healthcare and public health capacity","Increase in medical supplies and equipment","Respirators, phlegm suctioning devices","For treatment of cases"
"895","Resource allocation","The government provides food assistance","",""
"896","Travel restriction","Airports closing for all international flights","",""
"899","Travel restriction","Cancellation of international flights","Partial",""
"900","Resource allocation","Fixing price for specific protective products","",""
"902","Travel restriction","Individual movement restrictions","Segmenting of population ",""
"908","Risk communication","Actively communicate with stakeholders","Daily press conference",""
"909","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from Hubei",""
"910","Case identification, contact tracing and related measures","Airport health check","Test travellers with fever or symptoms","All incomings"
"911","Case identification, contact tracing and related measures","Airport health check","Health certificate requested","from Wuhan"
"914","Case identification, contact tracing and related measures","Airport health check","Quarantine all incoming people with fever",""
"915","Travel restriction","Airport restriction","Denial entry of travellers from Wuhan",""
"916","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Precise"
"917","Case identification, contact tracing and related measures","Border health check","Measure temperature","Travellers from Wuhan"
"918","Case identification, contact tracing and related measures","Border health check","Test at the border",""
"919","Case identification, contact tracing and related measures","Border health check","Health certificate requested","Specify country/countries or ""undefined"""
"920","Case identification, contact tracing and related measures","Border health check","Health declaration",""
"929","Travel restriction","Cordon sanitaire","More than one region",""
"930","Resource allocation","Crisis management plans","Implement repurpose community services plans",""
"931","Resource allocation","Crisis management plans","Implement repurpose government plans",""
"934","Risk communication","Educate and actively communicate with the public","Activate communication to the public","facebook? youtube"
"945","Healthcare and public health capacity","Increase patient capacity","Isolation wards","Increase number of beds"
"946","Healthcare and public health capacity","Increase availability of PPE","Face masks","Increase production"
"947","Healthcare and public health capacity","Increase availability of PPE","PPE for healthcare professionals","import"
"948","Healthcare and public health capacity","Increase healthcare workforce","Recommend medical staffs come back to their position",""
"952","Healthcare and public health capacity","Enhance laboratory testing","Decrease time bewteen test and result",""
"953","Environmental measures","Environmental cleaning and disinfection","Train connect mainland China to Hongkong",""
"955","Case identification, contact tracing and related measures","Isolation of cases","","Wuhan import"
"958","Social distancing","Mass gathering cancellation","(unspecified)",""
"969","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Provide assistance to the elderly who stay at home"
"971","Case identification, contact tracing and related measures","Quarantine","Contact persons","Contacts"
"972","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Wuhan"
"973","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China other than hubei, extend to other countries on 3/10"
"975","Social distancing","Recommendation for home office","",""
"985","Case identification, contact tracing and related measures","Surveillance","Implement sentinel study",""
"987","Case identification, contact tracing and related measures","Surveillance","Use existing respiratory disease surveillance systems and hospital-based surveillance",""
"988","Case identification, contact tracing and related measures","Surveillance","Implement existing respiratory disease surveillance systems and hospital-based surveillance",""
"989","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas","last 14 days had been to Wuhan"
"990","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas","All travelers from mainland China"
"991","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas","last 14 days had been to S.Korea"
"993","Travel restriction","Train transport restrictions","Close down train service and visitors from high risk place",""
"994","Travel restriction","Travel restriction to high-risk areas","",""
"995","Environmental measures","Environmental cleaning and disinfection","Spa baths",""
"996","Environmental measures","Environmental cleaning and disinfection","Public transport","More frequent disinfection"
"997","Social distancing","Public transport","Specific measures to avoid congestion","Access through all doors"
"998","Social distancing","Measures for special populations","Vulnerable populations","Provide assistance to homeless people"
"999","Social distancing","Mass gathering cancellation","Cultural events ","Theatres, cinemas, concerts, and museums"
"1000","Social distancing","Work safety protocols","In state institutions","City hall"
"1001","Risk communication","Educate and actively communicate with the public","Recommendation for home office","advice by the mayor of Budapest"
"1002","Social distancing","Special measures for certain establishments","In state institutions","City hall"
"1003","Social distancing","Mass gathering cancellation","Closure of non-essential public places","baths, zoo"
"1004","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","bus/tram drivers"
"1007","Social distancing","Mass gathering cancellation","Closure of non-essential public places","children playgrounds"
"1008","Risk communication","Educate and actively communicate with the public","Activate communication to the public","public transport, billboards at stations, posters"
"1009","Social distancing","Special measures for certain establishments","Public utility companies","customer service restricted to online and telephone calls"
"1010","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","social media, telephone calls, posters, voice message on the phone from the mayor "
"1011","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","rent discount to small and medium-sized enterprises (SME) who are the tenants of the Municipality of Budapest"
"1014","Healthcare and public health capacity","Reduce the burden on health systems","Promote self-initiated isolation of people with mild respiratory symptoms","Call doctor"
"1017","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","especially toward elderly and vulnerable"
"1019","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","elderly"
"1020","Risk communication","Use of public transport","Discourage use of public transport","price of city bike rental decreased"
"1022","Risk communication","Educate and actively communicate with the public","Recommendation for cashless operations","Recommendation to purchase a public transport ticket via smartphone app"
"1023","Risk communication","Educate and actively communicate with the public","Encourage donation for covid19 crisis","Blood donations"
"1024","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","official website with COVID-19 information"
"1025","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","when standing in line or shopping"
"1027","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Provide PPE"
"1028","Risk communication","Educate and actively communicate with the public","Recommendation for cashless operations","Payment with touch credit card"
"1029","Social distancing","Implement the 2m distance","Stickers on the floor of supermarkets",""
"1030","Social distancing","Public transport","Reduce service","Reduced as much as congestion can be avoided"
"1031","Healthcare and public health capacity","Increase healthcare workforce","Ease transport of health workers",""
"1032","Risk communication","Educate and actively communicate with the public","Activate communication to the public","airport posters"
"1033","Healthcare and public health capacity","Enhance hand hygiene","Hand sanitizers in public spaces","Airports"
"1035","Healthcare and public health capacity","Increase availability of PPE","Face masks","Increase production of masks"
"1036","Social distancing","Return operation of nationals living in Hubei","Quarantine","Transported home through France"
"1037","Case identification, contact tracing and related measures","Border health check","Health screening","Travellers from Italy"
"1038","Healthcare and public health capacity","Increase healthcare workforce","Educate healthcare professionals","Provide documentation"
"1039","Healthcare and public health capacity","Enhance emergency response mechanisms","Operational Task Force begins operation",""
"1040","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","education institutions should not to organize trips to an infected area"
"1041","Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","In schools"
"1042","Travel restriction","Border restriction","Borders closed to refugees","The admission of immigrants is suspended indefinitely."
"1043","Healthcare and public health capacity","Increase in medical supplies and equipment","Ambulances",""
"1045","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","social media "
"1047","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","Visas are no longer issued for Iranian citizens"
"1049","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from high-risk areas other than China","Northern Italy"
"1051","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","information campaign launched by the government"
"1052","Healthcare and public health capacity","Repurpose hospitals","Some hospitals dedicated to covid19 patients"," South Pest Central Hospital is freed"
"1053","Returning to normal life","Support for the return to normal life","Lift truck stop",""
"1054","Social distancing","Mass gathering cancellation","Festivals, faith-based events","one festival"
"1056","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","airport leaflets"
"1059","Travel restriction","Cancellation of international flights","Partial","with China"
"1060","Healthcare and public health capacity","Increase healthcare workforce","Travel ban for healthcare professionals",""
"1061","Risk communication","Actively communicate with stakeholders","Local governments are asked to cooperate with the crisis unit",""
"1062","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Hungarian citizens traveling abroad are asked to register at the consulate"
"1063","Social distancing","Closure of educational institutions","Reduction of excursions, out-of-house events","School trips postponed"
"1064","Social distancing","Work safety protocols","In state institutions"," Parliament , ministries"
"1065","Travel restriction","Airports closing for all international flights","from Northern Italy",""
"1066","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","Iranian citizens"
"1069","Healthcare and public health capacity","Measures for blood donation","Persons who travelled abroad are excluded from blood donation","persons that traveled abroad after February 5th 2020 are excluded from blood donations for 30 days"
"1070","Case identification, contact tracing and related measures","Border health check","Quarantine facility for suspected cases, otherwise home quarantine",""
"1072","Social distancing","Closure of educational institutions","Reduction of excursions, out-of-house events","trips abroad suspended"
"1074","Social distancing","Mass gathering cancellation","Limit up to 100 persons","indoors"
"1075","Social distancing","Mass gathering cancellation","Limit up to 500 persons","outdoors"
"1076","Travel restriction","Border restriction","Border control","with Slovenia and Austria"
"1077","Travel restriction","Border restriction","Borders closed for people with travel history to China",""
"1078","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","from Italy, South Korea, Iran"
"1079","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","from Israel"
"1080","Case identification, contact tracing and related measures","Quarantine","Scale up the system","Police intervention if quarantine not restected"
"1081","Healthcare and public health capacity","Research","Vaccine and antiviral development","working team is set up"
"1083","Risk communication","Educate and actively communicate with the public","Advice for special populations","Elderly"
"1085","Resource allocation","Crisis management plans","Implement repurpose government plans","methodology for school digitalization"
"1088","Social distancing","Small gathering cancellation","","Recommendation to postpone any gathering other than family events"
"1091","Social distancing","Mass gathering cancellation","Outdoor activities",""
"1093","Social distancing","Mass gathering cancellation","Indoor activities","All"
"1095","Social distancing","Mass gathering cancellation","Sport events","can be held without spectators"
"1098","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Post deliver"
"1099","Case identification, contact tracing and related measures","Increase data availability","",""
"1100","Social distancing","Mass gathering cancellation","Closure of non-essential public places","nightclubs, pubs, entertainment places"
"1101","Travel restriction","Border restriction","Borders closed to all non-citizens","only Hungarian citizens and foreign citizens arriving from the countries of the European Economic Area (EU member states, Switzerland and Norway) who are entitled to permanent residence, and attest this right with a permanent residence card, can enter Hungary."
"1102","Case identification, contact tracing and related measures","Quarantine","Suspected cases"," warning notice should be place on the front door of home"
"1103","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Garbage collectors"
"1104","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","debt payment postponed"
"1105","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","waive employers' contributions in affected businesses (tourism, hospitality, sports, culture, entertaintment, passenger transport)"
"1106","Healthcare and public health capacity","Increase availability of PPE","Masks, protective suits",""
"1107","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Purchase of test kits"
"1109","Healthcare and public health capacity","Increase availability of PPE","Masks, protective suits, gloves",""
"1110","Risk communication","Educate and actively communicate with the public","Coronavirus Information Bulletin","Romani and sign language"
"1111","Healthcare and public health capacity","Case management","Implement triage procedures","triage tent build in hospital courtyard"
"1112","Healthcare and public health capacity","Increase in medical supplies and equipment","Ban on exportation of medical equipment and drugs","Drug hydroxychloroquine sulfate"
"1113","Healthcare and public health capacity","Enhance hand hygiene","Approval of new hand disinfectant","Produced by MOL"
"1114","Case identification, contact tracing and related measures","Airport health check","Health screening","all incoming Hungarians"
"1115","Resource allocation","Receive international help","",""
"1116","Healthcare and public health capacity","Increase availability of PPE","PPE",""
"1117","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","1.5 m between persons of different households"
"1118","Social distancing","Measures for special populations","Measures to limit contact to the elderly","special hours at essential shops for persons over 65 years old 9-12 am"
"1120","Social distancing","Special measures for certain establishments","Food services","only take-away or delivery"
"1121","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","movement for work and basic needs allowed"
"1122","Resource allocation","Crisis management plans","Implement repurpose community services plans","Healthcare workers can travel for free on interurban public transpor"
"1123","Healthcare and public health capacity","Increase availability of PPE","Increased number of PPE (masks)",""
"1125","Healthcare and public health capacity","Increase in medical supplies and equipment","Management of equipement",""
"1126","Case identification, contact tracing and related measures","Airport health check","Measure temperature for all passengers","all incoming passengers"
"1127","Social distancing","Measure for cashless payments","Increase number of goods that can be bought by card contactless and without pin code",""
"1128","Resource allocation","Provide international help","Donate PPE to North Macedonia",""
"1129","Resource allocation","Crisis management plans","Implement repurpose community services plans","Free parking"
"1130","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Social workers in nursing homes"
"1131","Social distancing","Special measures for certain establishments","Residential social institutions",""
"1132","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare alert phase",""
"1133","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare civil protection distress phase",""
"1134","Risk communication","Actively communicate with healthcare professionals","Encourage healthcare workwers to avoid travel",""
"1136","Case identification, contact tracing and related measures","Airport health check","Health screening",""
"1137","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","Tourists from countries outside of the EEA and EFTA"
"1138","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Closure of junior colleges"
"1140","Social distancing","Closure of educational institutions","Partial closure of educational institutions","Partial closure of primary schools and pre schools"
"1144","Risk communication","Educate and actively communicate with the public","Guidance for frontline service staff",""
"1145","Risk communication","Educate and actively communicate with the public","Health alert notice to international travellers",""
"1148","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Special shopping time for the elderly"
"1149","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Travellers from Italy"
"1151","Case identification, contact tracing and related measures","Surveillance","Implement sentinel study","Random testing of population"
"1154","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Travel advisory to travelers visiting China"
"1156","Healthcare and public health capacity","Activate notification of cases","Covid-19 as a notifiable disease","Guidance for sample Collection, Packaging and Transportation for Novel Coronavirus"
"1157","Environmental measures","Environmental cleaning and disinfection","Guidelines for Infection Prevention and Control in Healthcare Facilities",""
"1159","Social distancing","Return operation of nationals living in Hubei","Quarantine",""
"1160","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Indian travelers are hereby advised to refrain from travelling to China"
"1161","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China"
"1162","Travel restriction","Airport restriction","Denial entry of any foreign national from China","Existing visas (including eVisa already issued) are no longer valid for any foreign national travelling from China."
"1163","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Indian citizens are further advised to refrain from non-essential travel to Singapore, Republic of Korea, Iran, Italy"
"1165","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Indian citizens are advised to refrain from travel to COVID-19 affected Countries (China, Republic of Korea, Islamic Republic of Iran, Italy and Japan)"
"1167","Travel restriction","Airport restriction","Denial entry of any foreign national from China and other risk areas","Existing visas (including eVisa already issued) are no longer valid for any foreign national travelling from China, Republic of Korea, Islamic Republic of Iran, Italy and Japan"
"1168","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Italy, Iran, South Korea, and Japan"
"1169","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from high-risk areas other than China","Passengers (foreign and Indian) other than those restricted, arriving directly or indirectly from China, South Korea, Japan, Iran, Italy, Hong Kong, Macau, Vietnam, Malaysia, Indonesia, Nepal, Thailand, Singapore and Taiwan must undergo medical screening at port of entry."
"1170","Case identification, contact tracing and related measures","Border health check","Test at the border","Hundred percent screening of people entering India is done without fail."
"1172","Case identification, contact tracing and related measures","Airport health check","Measure temperature for all passengers","Universal Screening and self-declaration for all international Passengers entering into India "
"1174","Healthcare and public health capacity","Activate emergency response mechanisms","Strategy for COVID-19 testing in India",""
"1177","Travel restriction","Border restriction","Close border to prevent virus spread","Bangladesh and Myanmar"
"1179","Case identification, contact tracing and related measures","Airport health check","Health certificate requested","Passengers traveling from /having visited Italy or Republic of Korea and desirous of entering India will need certificate of having tested negative for COVID-19"
"1180","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas","All incoming international passengers"
"1181","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China, Hong Kong, Republic of Korea, Japan, Italy, Thailand, Singapore, Iran, Malaysia, France, Spain and Germany"
"1182","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China",""
"1183","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from high risk areas","Indian citizens are advised to avoid non- essential travel abroad"
"1184","Case identification, contact tracing and related measures","Specific health channel for travellers ","For international cruise/merchandise boat personal",""
"1185","Risk communication","Educate and actively communicate with the public","Respiratory etiquette",""
"1187","Environmental measures","Environmental cleaning and disinfection","All public places",""
"1189","Social distancing","Mass gathering cancellation","Cultural events","Cinemas"
"1192","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Bars"
"1193","Social distancing","Small gathering cancellation","Family celebrations","Weddings, parties"
"1198","Social distancing","Mass gathering cancellation","Indoor activities","Fitness gym, swimming pools"
"1199","Travel restriction","Airport restriction","Denial entry of foreigners and OIC card holders","All existing visas, except diplomatic, official, UN/International Organizations, employment, project visas, stand suspended till 15th April 2020"
"1200","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China, Italy, Iran, Republic of Korea, France, Spain and Germany"
"1201","Travel restriction","Border restriction","Close border to prevent virus spread","Bangladesh, Nepal, Bhutan and�Myanmar"
"1204","Social distancing","Mass gathering cancellation","Cultural events","Theatres"
"1206","Social distancing","Mass gathering cancellation","Indoor activities","Gyms"
"1211","Resource allocation","Crisis management plans","Implement repurpose government plans","Notified disaster"
"1219","Social distancing","Mass gathering cancellation","Cultural events","Museums"
"1220","Healthcare and public health capacity","Activate emergency response mechanisms","Revised Guidelines/Strategy for COVID-19 testing by Indian Council of Medical Research (ICMR)",""
"1221","Travel restriction","Border restriction","Borders closed to all non-citizens","Restrictions on International passenger traffic through Land Check Posts"
"1222","Healthcare and public health capacity","Precautions for handling and disposal of dead bodies","Guidelines on dead body management",""
"1223","Healthcare and public health capacity","Precautions for handling and disposal of dead bodies","",""
"1225","Social distancing","Mass gathering cancellation","Cultural events","Museums, cultural and social centres, theatres"
"1226","Social distancing","Mass gathering cancellation","Indoor activities","Gyms, swimming pools"
"1228","Risk communication","Educate and actively communicate with the public","Encourage private sector organizations/employers to allow employees to work from home wherever feasible.",""
"1233","Risk communication","Educate and actively communicate with the public","Promote hand hygiene","Restaurants"
"1234","Risk communication","Educate and actively communicate with the public","Promote the 1m distance","All commercial activities must keep a distance of one meter between customers."
"1237","Risk communication","Actively communicate with healthcare professionals","Sensitization of hospital, medico-social and liberal health professionals","Guidelines on Clinical Management of COVID-19"
"1238","Social distancing","Mass gathering cancellation","Limit up to 50 persons","Public places"
"1239","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Travel of passengers from Afghanistan, Philippines, Malaysia to India is prohibited with immediate effect. No flight shall take off from these countries to India."
"1241","Social distancing","Mass gathering cancellation","Cultural events","Touristic destinations lockdown"
"1242","Social distancing","Mass gathering cancellation","Cultural events","Touristic sites closed + tourists staying in hotels and resorts were given 24 hours to leave the city"
"1243","Social distancing","Mass gathering cancellation","Indoor activities","gyms, swimming pools, coaching centres, spas,  and video game parlours"
"1247","Social distancing","Small gathering cancellation","Closure of non-essential working places","government offices�"
"1251","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Private labs can do the test"
"1254","Healthcare and public health capacity","Enhance laboratory testing","Decrease time between test and result",""
"1255","Travel restriction","Border restriction","Borders closed to all non-citizens","All foreign tourists"
"1256","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Expanding compulsory quarantine for a minimum period of 14 days for passengers coming from/transiting through UAE, Qatar, Oman, and Kuwait."
"1257","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Travel of passengers from member countries of the European Union, the European Free Trade Association, Turkey and United Kingdom to India is prohibited with effect from 18th March 2020. No airline shall board a passenger from these nations to India"
"1258","Case identification, contact tracing and related measures","Airport health check","Check for symptoms","Standard Operating Procedure for Passenger Movement post Disembarkation is announced "
"1259","Travel restriction","Non-essential travels forbidden","For armed police forces",""
"1265","Healthcare and public health capacity","Increase isolation and quarantine facilities","",""
"1266","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","All doctors, nurses and support staff in different specialities, including pre and para clinical departments, should be mobilized"
"1267","Risk communication","Actively communicate with healthcare professionals","Mobilization of equipments","All hospitals should mobilize additional resources including masks, gloves and personal protection equipment. Hospitals must procure sufficient numbers of ventilators and high flow oxygen masks "
"1268","Case identification, contact tracing and related measures","Specific health channel for travellers ","For international cruise/merchandise boat personal","the flow of goods by sea should not be needlessly disrupted without compromising the safety of life and protection of the environment."
"1269","Resource allocation","Crisis management plans","Implement repurpose government plans","COVID-19 Economic Response Task Force"
"1270","Case identification, contact tracing and related measures","Enhance detection system","Research and test of suspected cases","Include more people for tests"
"1271","Risk communication","Educate and actively communicate with the public","WhatsApp bot","To ensure you receive accurate and verified information on Coronavirus. "
"1272","Healthcare and public health capacity","Repurpose hospitals","Hospitals prepared to treat","Mock Drill on 22nd March 2020 for Hospital Preparedness"
"1273","Travel restriction","Airports closing for all international flights","","No scheduled international commercial passenger aircraft shall take off from any foreign airport for any airport in India, after 0001 hrs GMT of March 22, 2020. As such, no incoming scheduled international commercial passenger aircraft shall be allowed to disembark its passengers *on Indian soil*"
"1274","Risk communication","Educate and actively communicate with the public","Encourage curfew","�A 14-hour voluntary public curfew�"
